but,"[ 0.35934   -0.2657    -0.046477  -0.2496     0.54676    0.25924
 -0.64458    0.1736    -0.53056    0.13942    0.062324   0.18459
 -0.75495   -0.19569    0.70799    0.44759    0.27031   -0.32885
 -0.38891   -0.61606   -0.484      0.41703    0.34794   -0.19706
  0.40734   -2.1488    -0.24284    0.33809    0.43993   -0.21616
  3.7635     0.19002   -0.12503   -0.38228    0.12944   -0.18272
  0.076803   0.51579    0.0072516 -0.29192   -0.27523    0.40593
 -0.040394   0.28353   -0.024724   0.10563   -0.32879    0.10673
 -0.11503    0.074678 ]"
represented,"[-0.6713    0.38078  -0.61742   0.31479   0.67176   0.81198  -0.23867
  0.056571 -0.36413  -0.51598   0.4224   -0.19613   0.087881 -0.52781
 -0.066591 -0.18164   0.60943  -0.0369   -0.55591  -0.22019   0.043127
 -0.41068   0.25389   0.31759  -0.59146  -1.0053   -0.41607  -0.56303
 -0.96482   0.12602   2.007    -0.24915   0.11731  -1.1958    0.57435
 -0.67362  -0.046269  0.24493  -0.43668  -0.22354  -0.39994  -0.055839
  0.044454 -0.22554  -0.99358   0.43988  -0.75689  -0.08362  -0.068212
 -0.14263 ]"
instead,"[ 1.6834e-01 -7.2452e-02  8.1124e-02 -5.1142e-01  3.6302e-01  2.6761e-01
 -3.3017e-01 -1.2967e-01 -4.3045e-01  3.6193e-02 -1.1362e-01  3.4919e-01
 -1.1913e-01  7.4780e-02  2.2611e-01  2.2578e-01 -3.3976e-02 -1.9064e-03
 -3.7438e-02 -8.9569e-01  4.3247e-01 -1.4601e-01  4.0009e-01 -1.1041e-02
  1.0408e-01 -1.5355e+00  2.0654e-01  1.4319e-01  5.9204e-01 -5.7440e-01
  3.2859e+00  3.8220e-01 -6.4248e-01 -2.4752e-01  3.1905e-02  1.5967e-01
  8.2851e-02  2.9365e-01 -2.7896e-01 -2.1462e-01  6.9458e-02  1.3307e-02
 -1.2710e-01  3.6425e-01 -1.1626e-01 -8.7059e-02  6.3919e-02 -2.1882e-01
 -8.5911e-02  5.8001e-03]"
paulo,"[-0.25751  -0.81605   0.023624  1.0775   -0.38382  -2.6102   -0.64096
 -0.21204  -0.39032   1.4821    1.0291   -0.37964  -0.55945  -0.78244
  0.71398  -1.2003   -0.44122   0.012277 -0.56714  -0.04949  -0.57127
  0.23472  -0.31485   0.74534  -0.30076  -0.5134    0.53641   0.016688
 -1.2552   -0.041561  1.5735    0.071796  0.037049 -0.50256  -0.23805
 -0.45523  -0.40573   0.40191   1.1446    0.22144  -0.28559   1.0007
  0.53677  -0.65118  -1.0235    0.5408   -0.05396  -0.5334    1.6126
 -0.66517 ]"
family,"[ 1.1636     0.90386   -0.74277    0.49272    1.88       0.9285
 -1.0429     0.01343   -0.51903   -0.68762    0.0083396  0.50754
  0.51792   -0.75577    1.0241     0.1761    -0.91889    0.21455
  0.19232    0.19562    0.0044282  0.40701   -0.3812     0.51286
  0.14278   -1.4652    -0.55194   -0.8362     0.41877    0.40793
  2.5335    -0.20787    0.088761  -0.10973    0.52074    0.026259
 -0.65515   -0.1425     0.44071   -0.047796  -0.23276    0.17212
 -0.16844    0.60122    0.47156    0.11336   -0.96031   -1.3412
 -0.021467   0.049217 ]"
lives,"[ 0.81315   0.65893   0.14697  -0.54245   0.66668   0.34041  -0.56213
  0.13589   0.40011  -0.02329  -0.43605  -0.59288   0.042029 -0.61274
  0.91674  -0.089013  0.40255   0.48454   0.11481   0.58303  -0.44466
  1.3207   -0.18697   0.49084   0.75073  -1.2841   -0.4271   -0.4807
  0.80622   0.040048  2.5578    0.22652   0.23573  -0.56948  -0.072425
  0.23328  -0.56632  -0.22781   0.42636   0.13053  -0.79046   0.053109
  0.87014   0.060114  0.036469  0.20785  -0.55476  -1.0238   -0.60599
  0.15554 ]"
rest,"[ 0.48021   0.052461 -0.075499 -0.49294   0.56293  -0.13394  -0.6687
  0.57151  -0.12299  -0.41295   0.21995  -0.012016 -0.2464   -0.21704
  0.49805   0.52421   0.19902  -0.14816  -0.22035  -0.20401  -0.22217
  0.1369    0.32133   0.2509    0.17578  -1.1599   -0.047711  0.23753
  0.6222   -0.27197   3.3579    0.66388   0.054773  0.047149  0.081288
  0.12085   0.062961  0.36136   0.11847  -0.28224  -0.53443  -0.24501
  0.16648   0.21954  -0.6158    0.28791  -0.13205  -0.37609  -0.47475
 -0.16401 ]"
broke,"[-4.0900e-01 -4.9004e-01  2.1330e-01  8.6061e-02 -2.9655e-01  2.6969e-01
 -4.6134e-01  1.1724e+00 -3.4211e-01 -5.9958e-01 -1.8427e-02 -8.7543e-01
 -1.5335e+00  3.4000e-01  5.3767e-01 -3.4580e-01 -3.7377e-01 -6.9284e-01
 -8.2837e-01  2.3158e-02 -1.2864e-01  5.0553e-01 -1.4972e-01 -2.9816e-01
  3.7749e-02 -1.6639e+00  7.0947e-01  5.2989e-02  4.1703e-01 -1.7612e-01
  2.5553e+00 -1.3450e-01 -1.0777e-01  5.2649e-01 -7.5879e-01  3.3247e-01
  5.3770e-02 -1.3219e-01  2.7174e-01  2.0076e-03 -2.0630e-01  1.9638e-02
 -9.0838e-02 -1.8740e-01  3.0677e-01 -2.2728e-02 -2.8340e-03 -1.0049e+00
 -6.1641e-01 -1.1606e+00]"
crocheted,"[-1.2513   -0.40033  -0.84004  -0.26438   0.36575   1.0664    0.2149
 -0.7609    0.17335  -0.62132  -0.35682  -0.95913   1.0051    0.53525
  0.031566  0.18867  -0.44766  -0.5629    1.2786   -0.55916  -0.20311
  0.49191   0.27597  -0.26775  -0.41686   0.47209  -0.7082    1.0687
  0.68697  -1.0702   -0.44477   0.43668   0.024947  1.3641   -0.10144
  0.80731  -0.15031   0.54049  -0.9228   -0.297     0.12608   0.47987
  0.79886  -0.027443  0.19193  -0.57704   0.27804  -0.047381 -0.3288
 -0.51194 ]"
scum,"[-0.048692  0.093776 -0.38515  -1.1331   -0.26824   0.26843   0.44968
 -0.82073  -0.012344  0.51246  -0.31222   0.58839   0.72652   1.2211
  0.19542  -0.10054   1.5925    0.68311  -0.053575  0.59499   0.028942
 -0.13177   0.93613   0.071868  0.13795  -0.31897  -0.61607   1.1592
  0.60996  -0.51552  -0.43998   0.19452  -0.61247   0.046477 -1.8565
  0.55884  -0.034071 -0.72844   0.52416  -0.2213   -0.2116   -0.37229
 -0.032438  0.19129   0.63185  -0.39281  -0.79495  -0.38926   0.87371
 -0.40244 ]"
nra,"[-1.2358    -0.47244    0.75411   -0.47533    0.44483    0.36007
  0.13597   -1.0807     0.3977    -0.94805   -0.60048   -0.24399
 -0.31588   -0.39118   -0.10384    0.23171    0.54317    0.93317
  0.018991  -0.46021   -0.096171  -0.40459   -0.0078014 -0.46073
 -0.5383    -1.5462    -0.21994   -0.031606  -0.69227   -0.37709
 -0.43145    0.44506   -0.7409    -0.36945   -0.97982   -0.36102
  0.10127   -0.47424   -0.50412   -0.28592    0.25008    0.10855
 -0.8809     0.6965     0.154     -0.62241   -0.56698    0.93667
 -0.69503    0.54328  ]"
miles,"[ 1.0866    0.98515   1.2071   -0.026385 -0.10026  -0.62922  -0.56072
  0.063335  0.25465  -0.59223  -0.7904   -1.7141    0.28782  -1.1864
 -0.073708 -0.19588   0.63105   1.2695   -1.9036   -0.041921 -0.13618
  1.0816    0.42373   0.16855   0.58558  -0.81473   0.60763   0.7229
  0.30053  -0.66455   2.9573   -0.37766   0.36233   0.68659   0.97132
 -0.64965  -0.25204  -0.16592   0.75706   1.3013   -0.31491   0.80362
  1.2476   -0.60369  -1.4289   -0.14497   0.16232  -0.82338  -0.6569
 -0.34391 ]"
agenda,"[ 0.1657    0.3202   -0.19835  -0.32254   0.37216  -0.019905  0.046323
 -1.1501   -0.23191  -0.38975  -1.2983   -0.54116  -0.80531   1.1249
 -0.17126   0.12363   0.4624   -0.6617    1.1102    0.078582  0.37119
  0.011112  0.019133 -0.060916  0.4374   -1.1295    0.34146   0.27129
 -0.031113  0.65805   2.5117    0.46645  -1.4487   -0.67321  -0.98615
 -0.8296   -0.55448   0.193    -1.1819   -0.25311  -0.76713  -0.58909
 -0.10023  -0.16279   0.015655  0.73255   0.031843  0.9175    0.6187
  0.25866 ]"
delete,"[-0.20724  -0.86947   1.4133   -0.18264   0.13674   0.05331   0.19137
 -0.12726  -0.29376  -0.099233 -0.69178   0.71437   0.64237   0.40441
  0.44925   0.27724  -0.87829  -1.4937    1.8307   -0.1712    0.10892
 -0.99844   0.21202   0.90779   0.70244  -0.41262  -0.76432  -0.50084
  0.94923  -1.3243    0.93784  -0.75945  -0.80831  -0.045759 -0.052344
  0.96531   0.7858   -0.72282  -0.52867  -0.24943   1.2589    0.12832
  0.24282   0.18533  -0.27686   0.85347   1.1358    0.89429   0.65107
  0.1617  ]"
artist,"[-0.91093   0.99808  -0.71439  -0.23005   0.60838   0.59341  -1.4852
 -0.52983  -0.4031    1.3029    0.84146   0.32296   0.26409   0.75852
  0.68207  -0.7824    0.51879  -0.10479  -0.048727 -0.052309  0.43649
  0.81105  -0.72338   0.17004   0.51888  -0.61165  -1.4415   -0.82572
 -0.48894  -0.54114   1.9321   -1.3069    0.2494   -0.94673  -0.056785
  0.6197    0.2248    0.59579  -0.23152  -0.64833   0.79133   0.5048
 -0.035264 -1.298     0.30394  -0.57075  -0.25141  -1.3414   -0.33598
  0.37173 ]"
afraid,"[ 0.37362  -0.6888    0.32082  -0.88431   0.42914  -0.3044    0.13931
  1.0005   -0.67064   0.088319 -0.20479   0.12892  -0.26046  -0.3341
  0.87835   0.84475   0.55721   0.15627   0.37446  -0.38521  -0.443
  0.85414   0.42531   0.78125   0.9641   -1.8613   -0.68612   0.067678
  1.129    -0.62213   1.7661    0.6503   -0.25383  -0.51738  -0.58876
 -0.365     0.012852 -0.58563   0.13411  -0.44282  -0.52294  -0.047318
  0.33116   0.49953   0.83104   0.046049 -0.55324  -0.47594  -0.002599
  0.54517 ]"
mandatory,"[-0.90652  0.14313 -0.28205 -1.1837  -0.84203  0.37816  0.46953 -0.45733
  1.025    0.28358  0.10776 -0.44091  0.59141  0.17112  0.86908  0.12184
 -0.40589 -0.57022  0.22073 -0.50702  0.22234 -0.41429 -0.49605 -0.21616
 -1.2199  -1.3162   0.77546 -0.49012  0.37844  0.60869  1.8595   0.4185
 -1.5216  -0.33268  0.72306  0.19228  1.3775  -0.182   -0.28085 -0.12327
 -0.59114 -0.08449  0.61796  1.1291  -0.45693 -0.54269  0.39427  0.6392
 -0.21741  0.63035]"
cleaned,"[ 0.68848  -1.2547    0.088609 -0.92986  -0.083197 -0.72258  -0.66436
  0.052807 -0.049155 -0.65519   0.053307  0.53568   0.18695   0.36803
  0.64459   0.61778  -0.26333   0.6083    0.44827  -0.69345  -0.013679
  0.16046   1.1107   -0.45863  -0.070271 -0.14691   0.13287   1.5839
  0.82778  -0.70713   1.1082   -0.3286    0.25383  -0.20638  -0.25961
  1.3238    0.80763   1.1866    0.96826  -0.22609  -0.20927  -0.49179
  0.50929   0.60541   0.033526  0.41529  -0.75885  -0.73458   0.25117
 -0.45227 ]"
ya,"[-0.40589   0.56494   0.23298   0.9953   -0.39449  -0.90763   0.70359
  0.074568 -1.0406    1.0025    0.23352   0.93498  -0.31144   0.24433
  0.31524  -0.071077  0.40052   0.54659   0.79064   0.66654  -0.4938
  0.56358   1.302    -0.2158    1.0412   -0.35178  -1.7116   -0.061799
  0.42992  -1.3912    1.09      0.086821 -1.327     1.7253   -0.50579
 -0.39604   0.21619  -0.48349   1.3936    0.51898   0.22921  -0.69252
  0.13912  -0.62623   0.035757 -1.0935   -0.39087  -0.75138   1.0148
  0.22522 ]"
actors,"[ 0.048182  0.32547  -0.46063  -0.56611   0.4486    0.72944  -0.28728
 -0.025179 -1.0341    0.76424   0.053966  0.62754   0.12715   1.2807
  0.64908  -0.26082   1.2511    0.29219  -0.12547  -1.0759    0.55467
  1.0733    0.25467   0.9064    0.21102  -0.38245  -0.75224  -0.83134
 -0.74241  -0.6712    2.1061    0.87459   0.63479  -1.2035    0.497
  0.63403  -0.086837 -0.34447  -0.89269  -0.53693  -0.35413   1.5192
  0.11379  -0.50224  -0.24514  -0.65863  -0.067186 -0.57343  -1.1836
  0.78785 ]"
high,"[-0.65758   1.2502    0.19082  -0.6742   -0.10125  -0.046932 -0.27648
 -0.48253   0.39254   0.3704   -0.24111  -0.6429    0.27676  -0.62422
 -0.52203   0.29799  -0.1996    0.36884  -0.81686  -0.48865   0.11511
  0.066147 -0.38797  -0.18239  -0.5759   -1.8776    0.61045   0.43434
 -0.090497  0.17718   3.4808    0.026707  0.60486  -0.7885    1.248
 -0.32864  -0.15526   0.12868   0.65885  -0.27297  -0.69856   0.46953
  0.19621   0.40444   0.061996  0.046055  0.72038  -0.45636  -0.19089
  0.099351]"
