bank,"[ 0.66488  -0.11391   0.67844   0.17951   0.6828   -0.47787  -0.30761
  0.17489  -0.70512  -0.55022   0.1514    0.10214  -0.45063  -0.33069
  0.056133  1.2271    0.55607  -0.68297   0.037364  0.70266   1.9093
 -0.61483  -0.83329  -0.3023   -1.1118   -1.55      0.2604    0.22957
 -1.0375   -0.31789   3.5091   -0.25871   1.0151    0.65927  -0.18231
 -0.75859  -0.30927  -0.91678   1.0633   -0.66761  -0.37464  -0.29143
  0.65606  -0.44642  -0.075495 -1.0552   -0.60501   0.73582   1.0139
 -0.27749 ]"
having,"[ 0.33622  -0.065714 -0.17418  -0.51548   0.41      0.73034  -0.62248
  0.486    -0.43061   0.031813  0.44374   0.31894  -0.68884  -0.43057
  0.77348   0.056255 -0.18135   0.030271 -0.46442  -0.27415  -0.15906
  0.43994   0.74721   0.038694  0.17693  -1.7307   -0.033778 -0.020356
  0.26372  -0.11199   3.2944    0.33868   0.2097   -0.68235   0.32398
  0.206     0.20842   0.75308  -0.32878  -0.496    -0.18261  -0.25741
 -0.058479  0.56971  -0.28183  -0.37065  -0.59989  -0.30235  -0.087409
 -0.3429  ]"
do,"[ 2.9605e-01 -1.3841e-01  4.3774e-02 -3.8744e-01  1.2262e-01 -6.5180e-01
 -2.8240e-01  9.0312e-02 -5.5186e-01  3.2060e-01  3.7422e-03  9.3229e-01
 -2.2034e-01 -2.1922e-01  9.2170e-01  7.5724e-01  8.4892e-01 -4.2197e-03
  5.3626e-01 -1.2667e+00 -6.1028e-01  1.6700e-01  8.2753e-01  6.5765e-01
  4.8959e-01 -1.9744e+00 -1.1490e+00 -2.1461e-01  8.0539e-01 -1.4745e+00
  3.7490e+00  1.0141e+00 -1.1293e+00 -5.2661e-01 -1.2029e-01 -2.7931e-01
  6.5092e-02 -4.3639e-02  6.0426e-01 -2.0892e-01 -4.5739e-01  1.0441e-02
  4.1458e-01  6.8900e-01  1.4468e-01 -3.1973e-02 -4.8073e-02 -1.1279e-04
  1.3854e-01  9.6954e-01]"
twice,"[-2.8926e-01 -1.0872e-01  2.8965e-01 -5.0882e-01  1.4339e-01  1.4344e-01
 -9.2043e-01  6.7990e-01 -2.6203e-01 -3.3973e-02  1.4297e-01 -2.9559e-01
 -6.1741e-01  7.2287e-02  1.0249e+00 -4.2113e-01 -2.7943e-01 -5.6645e-01
 -1.2646e+00  1.0554e-01 -2.4364e-01 -1.3943e-01  8.6044e-01 -2.9086e-03
 -7.4203e-02 -1.5642e+00  8.3914e-01  9.1916e-02 -2.2286e-01 -3.4649e-01
  2.6251e+00  6.2015e-01  4.5361e-02 -1.3522e-04  9.4190e-02  1.0272e-01
  6.3263e-01  1.1143e+00 -4.4735e-02 -3.1193e-01 -1.1692e-02  3.2663e-01
 -1.5136e-01  2.0964e-02 -6.6232e-01 -7.2233e-02 -1.0972e-01 -3.1648e-01
 -9.4748e-02 -3.9288e-01]"
peeped,"[ 0.40988   -0.56375    0.15863   -1.1062    -0.67367   -0.37569
 -0.4763    -0.4121     0.12612    0.20477   -0.13158    0.50381
 -0.75324    0.74219   -0.22646   -0.0050376 -0.39209    0.092322
  0.3531     0.40629    0.04432    0.90271    0.88442   -0.060697
  0.66767    0.48265    0.45285    0.9399    -0.026246  -0.45726
 -0.87933    0.55197    0.23952    0.13157   -1.247      0.40505
 -0.8736     0.48944    0.69523    0.29125   -0.12785   -0.26952
 -0.53305    0.79298   -0.27005   -0.38046    0.83877   -0.98097
 -0.32862   -1.21     ]"
book,"[-0.0076543  0.93456   -0.73189   -0.55162    0.76977    0.35925
 -1.1365    -1.1632     0.34214    0.29145   -0.8711     0.9197
 -0.47069   -0.22834    1.4777    -0.81714   -0.17466   -0.51093
 -0.28354    0.23292    0.71832    0.23414    0.49443    0.35483
  0.76889   -1.4374    -1.7457    -0.28994   -0.10156   -0.36959
  2.5502    -1.0581    -0.049416  -0.25524   -0.63303    0.02671
 -0.18733    0.20206   -0.26288   -0.41418    0.83473   -0.14227
 -0.28125    0.098155  -0.17096    0.52408    0.31851   -0.089847
 -0.27223   -0.0088736]"
reading,"[-8.6467e-01  5.2566e-01 -2.3499e-01 -1.4381e+00  6.2089e-01 -2.5034e-01
 -6.5178e-01 -7.6707e-01 -1.1494e-01  3.1355e-01 -5.6114e-01 -2.3585e-01
  1.0761e-01 -6.9526e-01  2.2004e-01 -3.7138e-01 -6.3192e-01 -4.4948e-01
 -3.0365e-01 -1.4393e-01  7.5815e-01  5.8025e-01  4.0458e-01  1.9313e-01
  1.0549e+00 -1.0572e+00 -5.8279e-01  1.7383e-01 -1.8640e-01 -6.1175e-01
  2.6260e+00  3.6007e-01  1.9629e-01 -7.9879e-01  7.4810e-02  6.8620e-03
  7.9200e-01  3.4801e-01  2.2929e-03 -3.6229e-01  7.6322e-01 -4.1334e-01
 -4.8850e-01  4.2273e-01 -5.5020e-02  3.1708e-01  7.4680e-01  3.3388e-01
  6.3799e-01 -4.1955e-03]"
pictures,"[ 0.6196     0.34757    0.6544     0.23547    0.62083   -0.36961
 -0.67938   -1.2885    -0.067406   0.43575   -0.22362    0.1466
 -0.46359    0.43245    0.82664   -0.044843  -0.70275   -0.059568
 -0.42061   -0.52695    0.9295     1.3424     0.68163   -0.20173
 -0.20938   -0.54091   -1.4648     0.30419    0.058262  -1.0213
  1.9655    -0.072511   0.0097444 -1.064     -0.50703    0.74799
  0.22048   -0.49231   -1.0304    -0.52802    0.9782     0.36241
  0.19571   -0.46811    0.073052  -0.10232   -0.33004   -0.91889
 -0.32997   -0.54469  ]"
conversations,"[ 1.0934     0.30283   -0.0029195  0.68196    0.32592   -0.11915
 -0.45397    0.77565   -0.67278    0.16314   -0.88073    0.62721
 -0.29514    0.74722    0.69877   -0.38025   -1.4135    -0.38611
  0.92658   -0.72512    0.90956    1.5039     1.3445     0.50375
  0.57312   -0.82035    0.23378    0.071925   0.1854    -0.46054
  1.7756    -0.51834   -0.20262   -1.2494     0.18378    0.15278
 -0.50076    0.030006  -0.74818    0.51784    0.51836    0.38258
 -0.44714    1.2927     0.11466   -0.71652    0.20995    0.61185
 -0.91732    0.082141 ]"
it,"[ 0.61183  -0.22072  -0.10898  -0.052967  0.50804   0.34684  -0.33558
 -0.19152  -0.035865  0.1051    0.07935   0.2449   -0.4373   -0.33344
  0.57479   0.69052   0.29713   0.090669 -0.54992  -0.46176   0.10113
 -0.02024   0.28479   0.043512  0.45735  -2.0466   -0.58084   0.61797
  0.6518   -0.58263   4.0786   -0.2542   -0.14649  -0.34321  -0.25437
 -0.44677   0.12657   0.28134   0.13331  -0.36974   0.050059 -0.10058
 -0.017907  0.11142  -0.71798   0.491    -0.099974 -0.043688 -0.097922
  0.16806 ]"
